-DOCSTART- -X- -X- O

ඊශ්‍රායල් NNP B-VP B-LOC
මිසයිල NNJ B-VP O
ප්‍රහාර NNC B-VP O
වලින් CM B-VP O
පලස්තීනුවෝ NNP B-VP I-PER
4 NUM B-VP O
ක් RP B-VP O
මිය RRPCV B-VP O
යති VFM B-VP O
. . O O

ගාසා NNP B-VP B-LOC
තීරයට NNP B-VP O
පෙරේදා NNC B-VP O
එල්ල NCV B-VP O
වූ VP B-VP O
ඊශ්‍රායල් NNP B-VP B-LOC
මිසයිල NNJ B-VP O
ප්‍රහාර NNC B-VP O
දෙකකින් NNC B-VP O
පලස්තීනුවන් NNP B-VP I-PER
සිව්දෙනෙක් NUM B-VP O
ඝාතනය NCV B-VP O
වූහ VFM B-VP O
. . O O

මෙය PRP B-VP O
ඉකුත් JJ B-VP O
ඉරිදා NNP B-VP O
ඊශ්‍රායලයේ NNP B-VP B-LOC
අෂ්ඩොඩ් NNP B-VP I-LOC
වරායේදී NNC B-VP O
මරා VNF B-VP O
ගෙන VNF B-VP O
මැරෙන VP B-VP O
බෝම්බ NNJ B-VP O
ප්‍රහාරයකින් NNC B-VP O
ඊශ්‍රායල් NNP B-VP B-LOC
ජාතිකයන් NNC B-VP I-PER
10 NUM B-VP O
දෙනකු NNC B-VP O
මිය RRPCV B-VP O
යාමට VNN B-VP O
එරෙහිව RB B-VP O
සිදු RRPCV B-VP O
කරන VP B-VP O
ලද්දකි NVB B-VP O
. . O O

දේශීය NN B-VP O
වෛද්‍ය NN B-VP O
නිෂ්පාදනයන් NNP B-VP O
පිළිබඳව RRPCV B-VP O
පර්යේෂණ NNS B-VP O
පැවැත්වීමට VP B-VP O
නාවින්න NNP B-VP B-LOC
වෛද්‍ය NN B-VP I-LOC
මධ්‍යස්‌ථානයට NNP B-VP I-LOC
විශාල JJ B-VP O
මුදලක්‌ NN B-VP O
වෙන්කර VP B-VP O
ඇතැයිද NNP B-VP O
නිකවැරටිය NNP B-VP O
ආයුර්වේද NNP B-VP O
නිෂ්පාදන NNP B-VP O
ගොවි NNP B-VP O
පළ NNP B-VP O
ආයුර්වේද NNP B-VP I-ORG
දෙපාර්තමේන්තුවෙන් NNP B-VP I-ORG
සංස්‌ථාවට NNP B-VP I-ORG
පැවරීමට NNP B-VP O
කටයුතු NNP B-VP O
කරන NNP B-VP O
බවද NNP B-VP O
හෙතෙම NNP B-VP O 
කීය VFM B-VP O
. . O O

වෙන්ඩෝල්  NNP B-VP B-PER
ආයුර්වේද NNP B-VP O
නිෂ්පාදන NNP B-VP O
සමාගමේ NNP B-VP O
සභාපති NNP B-VP I-PER
වෛද්‍ය NNP B-VP O
ගොඩකන්ද NNP B-VP B-PER
මහතාද NNP B-VP O
මෙහිදී NNP B-VP O
කතා NNP B-VP O
කළේ VFM B-VP O
. . O O

ඓතිහාසික NNP B-VP O 
නවගමුව NNP B-VP B-LOC
දේවාලය NNP B-VP I-LOC
අසල NNP B-VP O
සිඟමන් NNP B-VP O
යදින NNP B-VP O
යාචක NNP B-VP O
පිරිසක්‌ NNP B-VP O
අතර NNP B-VP O
ඇතිවූ NNP B-VP O
ගැටුමකින් NNP B-VP O
එහි NNP B-VP O
එක්‌ NNP B-VP O
යාචකයෙකු NNP B-VP O
කපා NNP B-VP O
කොටා NNP B-VP O
ඝාතනය NNP B-VP O
කර NNP B-VP O
ඇති NNP B-VP O
බව NNP B-VP O
පොලිසිය NNP B-VP O
පවසයි NNP B-VP O
. . O O

මෙසේ NNP B-VP O
ඉකුත් NNP B-VP O
දින NNP B-VP O
අලුයම NNP B-VP O
ඝාතනයට NNP B-VP O
පත් NNP B-VP O
වූයේ NNP B-VP O
හංවැල්ල NNP B-VP B-LOC
දිද්දෙණිය NNP B-VP B-LOC
ප්‍රදේශයේ NNP B-VP O
පදිංචිකරුවකු NNP B-VP O
වූ NNP B-VP O
හැවිරිදි NNP B-VP O
හෙට්‌ටිආරච්චිගේ NNP B-VP I-PER
කපිල NNP B-VP B-PER
නමැති NNP B-VP O
පුද්ගලයෙකි NNP B-VP O
. . O O

ඉකුත් NNP B-VP O
ජනවාරි NNP B-VP O
වැනි NNP B-VP O
දින NNP B-VP O
කැලණි NNP B-VP B-LOC
ගං NNP B-VP O
ඉවුරේ NNP B-VP O
අවුරුදු NNP B-VP O
සාදයක්‌ NNP B-VP O
පවත්වමින් NNP B-VP O
සිටි NNP B-VP O
මෙම NNP B-VP O
යාචක NNP B-VP O
පිරිස NNP B-VP O
මත්පැන් NNP B-VP O
බී NNP B-VP O
වෙරිමතින් NNP B-VP O
නවගමුව NNP B-VP B-LOC
මාපිටිගම NNP B-VP B-LOC
පාලම NNP B-VP O
අසල NNP B-VP O
සුසාන NNP B-VP O
භූමියේ NNP B-VP O
රාත්‍රිය NNP B-VP O
ගත NNP B-VP O
කර NNP B-VP O
ඇත NNP B-VP O
මෙම NNP B-VP O
පිරිස NNP B-VP O
පසුද NNP B-VP O
අලුයම NNP B-VP O
අවදිවී NNP B-VP O
මත්පැන් NNP B-VP O
බීමට NNP B-VP O
අවශ්‍යව NNP B-VP O
කැලණි NNP B-VP B-LOC
ගඟෙන් NNP B-VP I-LOC
එගොඩ NNP B-VP O
වී NNP B-VP O
නීති NNP B-VP O
විරෝධී NNP B-VP O
මත්පැන් NNP B-VP O
රැගෙනවිත් NNP B-VP O
සියලු NNP B-VP O
දෙනාම NNP B-VP O
පානය NNP B-VP O
කර NNP B-VP O
විනෝද NNP B-VP O
වන NNP B-VP O
අවස්‌ථාවේ NNP B-VP O
එක්‌ NNP B-VP O
අයකුගේ NNP B-VP O
ජංගම NNP B-VP O
දුරකථනය NNP B-VP O
අස්‌ථානගතවී NNP B-VP O
ඇත NNP B-VP O
. . O O 

මියගිය NNP B-VP O
පුද්ගලයා NNP B-VP O
එම NNP B-VP O
දුරකථනය NNP B-VP O
ගත්තා NNP B-VP O
යෑයි NNP B-VP O
සැකසිතා NNP B-VP O
ගුටි NNP B-VP O
බැට NNP B-VP O
හුවමාරු NNP B-VP O
වී NNP B-VP O
තිබේ VFM B-VP O
. . O O

පසුව NNP B-VP O
එම NNP B-VP O
පුද්ගලයා NNP B-VP O
ඉන් NNP B-VP O
බේරී NNP B-VP O
ප්‍රධාන NNP B-VP O
මාර්ගයේ NNP B-VP O
පලා NNP B-VP O
යමින් NNP B-VP O
සිටියදී NNP B-VP O
ඝාතනය NNP B-VP O
සිදුකළ NNP B-VP O
පුද්ගලයා NNP B-VP O
ඔහු NNP B-VP O
ලුහුබැඳ NNP B-VP O
මන්නා NNP B-VP O
පිහියකින් NNP B-VP O
පහරදී NNP B-VP O
කපා NNP B-VP O
කොටා NNP B-VP O
ඝාතනය NNP B-VP O
කර NNP B-VP O
තිබිණි NNP B-VP O
. . O O

ඝාතනයට NNP B-VP O
ලක්‌වූ NNP B-VP O
තරුණයා NNP B-VP O
තම NNP B-VP O
අන්ධ NNP B-VP O
සොහොයුරා NNP B-VP O
සමග NNP B-VP O
නවගමුව NNP B-VP B-LOC
දේවාලය NNP B-VP I-LOC
අසල NNP B-VP O
සිඟමන් NNP B-VP O
යදිමින් NNP B-VP O
මුදල් NNP B-VP O
ඉපයීමට NNP B-VP O
අමතරව NNP B-VP O
ගමපුරා NNP B-VP O
ගොස්‌ NNP B-VP O
පොල් NNP B-VP O
කඩන NNP B-VP O
රැකියාවද NNP B-VP O
කර NNP B-VP O
තිබිණි NNP B-VP O
. . O O

සිඟමන් NNP B-VP O
යෑද NNP B-VP O
අවසානයේ NNP B-VP O
නවගමුව NNP B-VP B-LOC
සුසාන NNP B-VP O
භූමියේ NNP B-VP I-LOC
රාත්‍රිය NNP B-VP O
ගත NNP B-VP O
කරන NNP B-VP O
අයියා NNP B-VP O
මලෝ NNP B-VP O
සමග NNP B-VP O
මෙදින NNP B-VP O
තවත් NNP B-VP O
යාචක NNP B-VP O
මිතුරන් NNP B-VP O
පිරිසක්‌ NNP B-VP O
එක්‌වී NNP B-VP O
සිටියහ NNP B-VP O
. . O O

මෙම NNP B-VP O
ඝාතනය NNP B-VP O
සම්බන්ධයෙන් NNP B-VP O
නවගමුව NNP B-VP B-ORG
පොලිසිය NNP B-VP I-ORG
විසින් NNP B-VP O
සැකපිට NNP B-VP O
යාචකයන් NNP B-VP O
අත්අඩංගුවට NNP B-VP O
ගෙන NNP B-VP O
තිබේ NNP B-VP O
. . O O

තුවාලකරු NNP B-VP O
නවගමුව NNP B-VP B-ORG
රෝහලට NNP B-VP I-ORG
ඇතුළත් NNP B-VP O
කරන NNP B-VP O
විටත් NNP B-VP O
මියගොස්‌ NNP B-VP O
සිටි NNP B-VP O
බව NNP B-VP O
පොලිසිය NNP B-VP O
පවසයි NNP B-VP O
මෘත NNP B-VP O
ශරීරය NNP B-VP O
පශ්චාත් NNP B-VP O
මරණ NNP B-VP O
පරීක්‍ෂණය NNP B-VP O
සඳහා NNP B-VP O
කොළඹ NNP B-VP B-LOC
පොලිස්‌ NNP B-VP I-ORG
මෘත NNP B-VP O
ශරීරාගාරය NNP B-VP O
වෙත NNP B-VP O
යොමුකර NNP B-VP O
ඇත NNP B-VP O
. . O O

මේ NNP B-VP O
සම්බන්ධයෙන් NNP B-VP O
නවගමුව NNP B-VP B-LOC
පොලිස්‌ NNP B-VP I-ORG
ස්‌ථානාධිපති NNP B-VP O
පොලිස්‌ NNP B-VP O
පරීක්‍ෂක NNP B-VP O
ආලෝක NNP B-VP B-PER
බණ්‌ඩාර NNP B-VP I-PER
සේනානායක NNP B-VP I-PER
මහතාගේ NNP B-VP O
උපදෙස්‌ NNP B-VP O
සහ NNP B-VP O
මෙහෙයවීම NNP B-VP O
මත NNP B-VP O
පරීක්‍ෂණ NNP B-VP O
සිදුකර NNP B-VP O
පලාලි NNP B-VP B-LOC
ගුවන් NNP B-VP I-LOC
තොටුපළ NNP B-VP I-LOC
ජාත්‍යන්තර NNP B-VP O
ගුවන්තොටුපළක්‌ NNP B-VP I-LOC
බවට NNP B-VP O
පත්කිරීමට NNP B-VP O
රජය NNP B-VP O
එකඟ NNP B-VP O
වී NNP B-VP O
ඇතැයි NNP B-VP O
ඉලංකෙයි NNP B-VP B-ORG
තමිල් NNP B-VP I-ORG
අරසු NNP B-VP I-ORG
පක්‍ෂයේ NNP B-VP I-ORG
නායක NNP B-VP I-PER
මාවෙයි NNP B-VP B-PER
සේනාධිරාජා NNP B-VP I-PER
ප්‍රකාශ NNP B-VP O
කර NNP B-VP O
ඇත NNP B-VP O
. . O O

මේ NNP B-VP O
සම්බන්ධව NNP B-VP O
ජනපති NNP B-VP I-PER
මෛත්‍රීපාල NNP B-VP B-PER
සිරිසේන  NNP B-VPI-PER
මහතා NNP B-VP O
සමඟ NNP B-VP O
මෙන්ම NNP B-VP O
අගමැති NNP B-VP O
රනිල් NNP B-VP B-PER
වික්‍රමසිංහ NNP B-VP I-PER
මහතා NNP B-VP O
සමඟද NNP B-VP O
සාකච්ඡා NNP B-VP O
කර NNP B-VP O
ඇති NNP B-VP O
බව NNP B-VP O
සේනාධිරාජා NNP B-VP I-PER
පවසා NNP B-VP O
තිබේ NNP B-VP O
. . O O

පලාලි NNP B-VP B-LOC
ගුවන් NNP B-VP I-LOC
තොටුපළ NNP B-VP I-LOC
පුළුල් NNP B-VP O
කිරීම NNP B-VP O
සඳහා NNP B-VP O
දෙමළ NNP B-VP O
ජනතාවගේ NNP B-VP O
ඉඩම් NNP B-VP O
ආක්‍රමණය NNP B-VP O
